Correlation Table - 50 periods
https://www.mataf.net
Sun, 02 Apr 2017 16:34:29 +0000
pair1,pair2,5min,1h,4h,1d
AUDCAD,EURDKK,-46.4,61.8,17.4,-9.7
AUDCAD,EURHKD,65,65.2,7.6,4.6
AUDCAD,EURJPY,78.1,64.8,39.8,-31.7
AUDCAD,EURPLN,0.8,-17.6,7.3,-60.6
AUDCAD,EURUSD,65.8,65.8,8.1,0.1
AUDCAD,GBPPLN,-55.8,-84.9,-43.4,-77.8
AUDCAD,SGDCHF,-30.1,-66.5,-0.4,71.9
AUDCAD,USDCHF,-51.9,-64.4,3.2,17.1
AUDCAD,USDINR,-67.1,33.1,10.6,-84.6
AUDCAD,ZARJPY,-25,45.4,-4.3,61.4
AUDCAD,USDHKD,22.4,-25.7,-18.4,78.4
AUDCAD,USDSAR,-57.8,-29.3,-30.4,-72.3
AUDCAD,USDTHB,-62.5,62.4,26,-51.9
AUDJPY,AUDCAD,62.8,19.2,52.4,-2.9
AUDJPY,AUDJPY,100,100,100,100
AUDJPY,AUDNZD,87.9,79.2,86.7,1.8
AUDJPY,AUDSGD,56,27.7,87.5,68.4
AUDJPY,CADCHF,-44.2,12.4,72.5,56.9
AUDJPY,CADHKD,46,-36.5,38.2,18.8
AUDJPY,CADJPY,80.7,70.6,88.2,64.7
AUDJPY,CADSGD,10.1,-7.5,59.4,36.3
AUDJPY,CHFJPY,91.2,91.6,-16.2,41.7
AUDJPY,CHFZAR,34.4,32.7,27,-15.5
AUDJPY,EURCAD,60.9,-23.5,-67.3,-52.7
AUDJPY,EURGBP,83.6,-20.9,-24.6,-16.7
AUDJPY,EURHUF,79.5,-38.4,-45.5,-17.1
AUDJPY,EURNOK,67.7,-8.7,-60.1,-46.8
AUDJPY,EURNZD,77.6,2.2,-68.4,-34.8
AUDJPY,EURSEK,5.1,-39.6,-1.1,-19.3
AUDJPY,EURSGD,77.5,-40.2,-57.4,-22
AUDJPY,EURTRY,73.6,-12.4,-26.4,-24.9
AUDJPY,EURZAR,42.5,30.3,27.6,-19.4
AUDJPY,GBPAUD,-77.6,-3.2,-78.5,-46.8
AUDJPY,GBPCAD,-51.2,12.2,-75.5,-72
AUDJPY,GBPCHF,-75.8,13.6,29.8,11.9
AUDJPY,GBPHKD,-41.2,-8.9,-64.1,-34.1
AUDJPY,GBPJPY,-4.7,51.8,24,38.9
AUDJPY,GBPNZD,-31.8,28,-36.5,-40.3
AUDJPY,GBPSGD,-73.2,5,-45.6,0.1
AUDJPY,GBPUSD,-44.9,-7.9,-65.4,-31.6
AUDJPY,GBPZAR,0.6,30.1,30,-9.6
AUDJPY,HKDJPY,36.2,84.6,89.3,73.1
AUDJPY,NZDCAD,-58.8,-36,-54,-8
AUDJPY,NZDCHF,-73.8,-39.3,74.4,34.7
AUDJPY,NZDHKD,-5.4,-58.7,-41.6,7.6
AUDJPY,NZDJPY,43.1,77.4,77.8,44.8
AUDJPY,NZDSGD,-49.6,-58.1,-9.9,22.5
AUDJPY,NZDUSD,-14.4,-57.4,-42.1,8.5
AUDJPY,SGDHKD,42.1,-42,-41.7,-51.2
AUDJPY,SGDJPY,64.1,91.9,84.5,60.1
AUDJPY,TRYJPY,51.1,56.4,19.3,49.6
AUDJPY,USDCAD,-44,35.2,-36.9,-19.7
AUDJPY,USDCNH,-52.1,74.5,66.7,9.3
AUDJPY,USDCZK,-74.8,63.8,69.8,57.5
AUDJPY,USDDKK,-75.9,42.1,69,58
AUDJPY,USDHUF,-57.6,34.8,57.9,49.1
AUDJPY,USDJPY,42.7,84.1,89.5,72.5
AUDJPY,USDMXN,65.5,-48.4,5.8,29.3
AUDJPY,USDNOK,-70.2,34.8,45.6,-14.3
AUDJPY,USDPLN,-75.2,-8.3,53.9,66.3
AUDJPY,USDSEK,-73.9,33.9,58.3,38.5
AUDJPY,USDSGD,-37.9,38.6,47.2,50.8
AUDJPY,USDTRY,-28,45.6,53.5,-1.8
AUDJPY,USDZAR,12.2,33.9,39,3.8
AUDJPY,AUDCHF,-6.5,67.1,89.4,66.4
AUDJPY,AUDHKD,79.5,-8.4,79,23.5
AUDJPY,AUDUSD,79.3,-6.5,77.8,26.1
AUDJPY,CHFHKD,68.6,-39.5,-76.5,-60.6
AUDJPY,EURAUD,52.9,-60.1,-86.4,-64
AUDJPY,EURCHF,68,-38.6,3,-22.8
AUDJPY,EURCZK,-42.4,72.4,42.2,-16.4
AUDJPY,EURDKK,-75.5,-29.9,-28.9,-65.9
AUDJPY,EURHKD,74.6,-43.3,-70.7,-60.7
AUDJPY,EURJPY,88.2,60.3,-12.7,27.8
AUDJPY,EURPLN,3,-80.9,-19.4,45.3
AUDJPY,EURUSD,74,-42.1,-70,-59.1
AUDJPY,GBPPLN,-82.2,-9.2,5.3,37.7
AUDJPY,SGDCHF,-55.8,33.5,64,12.2
AUDJPY,USDCHF,-68,38.1,75.4,57.6
AUDJPY,USDINR,-25.5,-5.5,-10.1,33
AUDJPY,ZARJPY,-3.5,-22.3,-27.2,32.1
AUDJPY,USDTHB,-77,28.5,28.9,54.3
AUDJPY,USDHKD,71.2,-29.1,31.3,-38.7
AUDJPY,USDSAR,-54.1,-33.8,-3.4,20.2
AUDNZD,AUDCAD,58.6,17.5,45.1,92.7
AUDNZD,AUDJPY,87.9,79.2,86.7,1.8
AUDNZD,AUDNZD,100,100,100,100
AUDNZD,AUDSGD,55.4,14.7,65.9,-29.4
AUDNZD,CADCHF,-53.7,5.5,76.6,-61.7
AUDNZD,CADHKD,57.3,-38.5,37.7,-78.7
AUDNZD,CADJPY,68.2,54.3,76.7,-69.6
AUDNZD,CADSGD,12.4,-13.1,39.1,-84.1
AUDNZD,CHFJPY,90.5,75.5,-42.6,-43.4
AUDNZD,CHFZAR,43.1,28.1,55.4,-70.8
AUDNZD,EURCAD,65.4,-23.9,-72.3,62.1
AUDNZD,EURGBP,89,-17.7,-28.8,60.4
AUDNZD,EURHUF,78.2,-40.6,-29.2,2.8
AUDNZD,EURNOK,70.7,24,-36.6,71.1
AUDNZD,EURNZD,89.7,22.9,-60,83.1
AUDNZD,EURSEK,29.1,-38.8,37.5,59.4
AUDNZD,EURSGD,85,-44.5,-74.1,-53.4
AUDNZD,EURTRY,78.5,-24.7,-11.7,-50
AUDNZD,EURZAR,49.7,24.4,56.1,-65.4
AUDNZD,GBPAUD,-78.6,-6.9,-77.2,-73.7
AUDNZD,GBPCAD,-54.1,4.5,-78.1,30.5
AUDNZD,GBPCHF,-84.9,5.5,32.9,-58
AUDNZD,GBPHKD,-32.8,-16.7,-67.4,-60.3
AUDNZD,GBPJPY,-21.2,37.2,6.5,-75.3
AUDNZD,GBPNZD,-20.7,32.4,-21.6,78.9
AUDNZD,GBPSGD,-75.4,-3.4,-63.3,-83.8
AUDNZD,GBPUSD,-37.6,-16.6,-70.3,-63.1
AUDNZD,GBPZAR,5.6,24.5,56.2,-79
AUDNZD,HKDJPY,4.1,70.1,75.2,-17.4
AUDNZD,NZDCAD,-77.1,-51.3,-73.9,-86.4
AUDNZD,NZDCHF,-91.7,-76.3,63.4,-86.1
AUDNZD,NZDHKD,-8.9,-75.4,-68.3,-91.6
AUDNZD,NZDJPY,-5.1,22.6,36.2,-88.6
AUDNZD,NZDSGD,-63.2,-84.7,-51.5,-94.2
AUDNZD,NZDUSD,-19.3,-74.9,-69.7,-91.8
AUDNZD,SGDHKD,52.5,-36,-13.2,62
AUDNZD,SGDJPY,49.4,75.7,84.4,34.6
AUDNZD,TRYJPY,39.9,56.1,-18.7,54.5
AUDNZD,USDCAD,-55.1,38.6,-33.3,79.6
AUDNZD,USDCNH,-68.8,68.6,72.4,73.9
AUDNZD,USDCZK,-83.8,52.5,76.7,6.1
AUDNZD,USDDKK,-84.6,43.3,77.8,4.7
AUDNZD,USDHUF,-73.2,35.2,72.2,6.1
AUDNZD,USDJPY,11,70.2,77.3,-13.7
AUDNZD,USDMXN,64.3,-32,-16.4,-89.1
AUDNZD,USDNOK,-82.6,46.8,70.3,85.9
AUDNZD,USDPLN,-82.4,10.4,29,-28.1
AUDNZD,USDSEK,-75,36.3,77.5,30.1
AUDNZD,USDSGD,-47.7,34.7,21,-59
AUDNZD,USDTRY,-41.2,26.3,77.6,-54.2
AUDNZD,USDZAR,15.7,29.1,65.5,-63.9
AUDNZD,AUDCHF,-30.8,46.7,90.5,37.3
AUDNZD,AUDHKD,87.2,-12.5,71.8,27.3
AUDNZD,AUDUSD,86.7,-11.9,68.2,21.7
AUDNZD,CHFHKD,84.5,-32.6,-81.7,-20.1
AUDNZD,EURAUD,62.6,-59,-88.6,-18.5
AUDNZD,EURCHF,64.4,-52.3,-4.3,43.8
AUDNZD,EURCZK,-30.4,47.1,43.5,15.5
AUDNZD,EURDKK,-78.1,-44.7,0,-9.3
AUDNZD,EURHKD,84.7,-44.7,-77.4,0.1
AUDNZD,EURJPY,86.4,36.3,-38.1,-21.1
AUDNZD,EURPLN,13.8,-54.7,-51.9,-53.9
AUDNZD,EURUSD,84,-44.2,-77.5,-4.7
AUDNZD,GBPPLN,-85.1,-2.8,-20.2,-75.4
AUDNZD,SGDCHF,-68,26.8,80.6,72.6
AUDNZD,USDCHF,-83.9,32.2,81.9,25.8
AUDNZD,USDINR,-25.5,15.8,-43.8,-85.1
AUDNZD,ZARJPY,-13.1,-19.4,-57.3,61
AUDNZD,USDHKD,82.7,-8.7,59.8,83.3
AUDNZD,USDTHB,-87.2,5.8,-5.4,-42.1
AUDNZD,USDSAR,-57.4,-10.5,20.8,-63.8
AUDSGD,AUDCAD,10.8,71.9,63.3,-25.5
AUDSGD,AUDJPY,56,27.7,87.5,68.4
AUDSGD,AUDNZD,55.4,14.7,65.9,-29.4
AUDSGD,AUDSGD,100,100,100,100
AUDSGD,CADCHF,2.5,-52.8,51.8,72.8
AUDSGD,CADHKD,63.5,-9.6,30.5,65.8
AUDSGD,CADJPY,63.6,-28.5,67.4,62.1
AUDSGD,CADSGD,78.9,-35.1,64.5,69
AUDSGD,CHFJPY,41.9,24.1,-5.2,12.7
AUDSGD,CHFZAR,18.4,-48.8,-8.6,3
AUDSGD,EURCAD,4,50.7,-44,-74.2
AUDSGD,EURGBP,60.2,56.4,3.5,-55
AUDSGD,EURHUF,24.7,51.5,-34.9,-60.3
AUDSGD,EURNOK,36.7,-38.9,-66.3,-67.4
AUDSGD,EURNZD,29.1,29.3,-54.7,-66
AUDSGD,EURSEK,31.1,15.5,-28.5,-53.7
AUDSGD,EURSGD,64.4,52.2,-24.5,3
AUDSGD,EURTRY,28.6,51.2,-16.3,-35
AUDSGD,EURZAR,17.5,-47.3,-7.2,-6
AUDSGD,GBPAUD,-82.3,-70.3,-82.1,-15.5
AUDSGD,GBPCAD,-78.9,-51.6,-73.8,-59.6
AUDSGD,GBPCHF,-72.4,-57.8,3.2,45.6
AUDSGD,GBPHKD,-68.1,-48.3,-66.4,24.5
AUDSGD,GBPJPY,-61.7,-44.8,-0.1,43.7
AUDSGD,GBPNZD,-71.8,-60.7,-62.2,-56.7
AUDSGD,GBPSGD,-36.4,-53.1,-39.9,47.2
AUDSGD,GBPUSD,-71,-48.5,-65.8,26.9
AUDSGD,GBPZAR,-13.8,-53.6,-7.1,16.8
AUDSGD,HKDJPY,-9.3,-23.1,67.5,20.3
AUDSGD,NZDCAD,-60.7,52.8,-23.5,27.1
AUDSGD,NZDCHF,-48.1,-5.2,66.9,63.3
AUDSGD,NZDHKD,3.5,45.6,-7.3,54.2
AUDSGD,NZDJPY,10.1,28.3,80.6,57.7
AUDSGD,NZDSGD,28.4,39.7,30.4,59.7
AUDSGD,NZDUSD,-5.9,46.1,-6.9,54.6
AUDSGD,SGDHKD,-23.5,42.3,-57.6,-49
AUDSGD,SGDJPY,-27.5,-12.5,48,-17.2
AUDSGD,TRYJPY,15.3,-35.3,22.8,41.8
AUDSGD,USDCAD,-61.6,8.9,-32.4,-66.2
AUDSGD,USDCNH,-42.9,7.2,44.3,-36.7
AUDSGD,USDCZK,-36.3,-32,39.1,31.4
AUDSGD,USDDKK,-34.7,-52.3,41.2,32.2
AUDSGD,USDHUF,-36.1,-40.1,32.4,3.4
AUDSGD,USDJPY,-3.1,-23.7,66.2,17.8
AUDSGD,USDMXN,9.5,-54.6,39.6,42
AUDSGD,USDNOK,-29.3,-59.3,8.1,-56.4
AUDSGD,USDPLN,-37.4,-72.5,64.4,37.6
AUDSGD,USDSEK,-23.5,-50.6,26.1,2.3
AUDSGD,USDSGD,29.2,-43.4,59.8,47
AUDSGD,USDTRY,-20.9,9.7,31.6,-25
AUDSGD,USDZAR,2.9,-50.6,2.6,7
AUDSGD,AUDCHF,14.7,20,74,58.3
AUDSGD,AUDHKD,64.3,84.5,83.6,58.2
AUDSGD,AUDUSD,63.2,84.7,85,62.3
AUDSGD,CHFHKD,47.5,55.7,-53.6,-15.7
AUDSGD,EURAUD,-2.5,12.4,-67.4,-67.9
AUDSGD,EURCHF,9.3,35.6,25.8,-57.4
AUDSGD,EURCZK,-64.6,5.5,9.7,-14.9
AUDSGD,EURDKK,-36.8,45.2,-34.5,-37.7
AUDSGD,EURHKD,35.8,52.5,-43.9,-36
AUDSGD,EURJPY,31.4,45.7,5.1,-11.4
AUDSGD,EURPLN,-10.8,-31.1,19.4,26.5
AUDSGD,EURUSD,34.1,52.7,-42.6,-32.9
AUDSGD,GBPPLN,-62.3,-67.7,14.3,56.5
AUDSGD,SGDCHF,-85.3,-60.2,33.7,-28
AUDSGD,USDCHF,-45.7,-56.4,51.7,11.3
AUDSGD,USDINR,10.9,14.6,24.4,37.4
AUDSGD,ZARJPY,-5.3,52.1,7.5,1.1
AUDSGD,USDHKD,75.5,-13.8,-0.9,-60.2
AUDSGD,USDSAR,-13.1,-30.5,-27.4,44.8
AUDSGD,USDTHB,-44.9,55.9,54.8,20
CADCHF,AUDCAD,-87.6,-90.7,-7.9,-66.8
CADCHF,AUDJPY,-44.2,12.4,72.5,56.9
CADCHF,AUDNZD,-53.7,5.5,76.6,-61.7
CADCHF,AUDSGD,2.5,-52.8,51.8,72.8
CADCHF,CADCHF,100,100,100,100
CADCHF,CADHKD,13.9,53,74.6,78.2
CADCHF,CADJPY,9.5,75.9,89.3,86.3
CADCHF,CADSGD,55.9,90.2,73.5,86.1
CADCHF,CHFJPY,-70.9,-13.7,-72,19.5
CADCHF,CHFZAR,-42.6,55.2,41.7,33.1
CADCHF,EURCAD,-92.9,-95.7,-98.4,-98.1
CADCHF,EURGBP,-54.8,-90.4,-69.8,-78.9
CADCHF,EURHUF,-59.5,-81.2,-34.6,-35.3
CADCHF,EURNOK,-67.4,24.3,-67.1,-89.9
CADCHF,EURNZD,-78.1,-79.5,-91.8,-88.8
CADCHF,EURSEK,12.4,-3,27.4,-44.9
CADCHF,EURSGD,-64.2,-82.4,-90.7,-5.1
CADCHF,EURTRY,-60.3,-85.9,-56.7,-12.3
CADCHF,EURZAR,-49.1,51.4,40.8,24.2
CADCHF,GBPAUD,15.6,86.1,-46.3,19.5
CADCHF,GBPCAD,-23.2,61.3,-67.9,-70.2
CADCHF,GBPCHF,39.6,90.2,74.2,74.1
CADCHF,GBPHKD,-23.6,79.2,-35.7,30
CADCHF,GBPJPY,-27.8,80.3,34,70.1
CADCHF,GBPNZD,-31.8,83.8,3.2,-72.2
CADCHF,GBPSGD,28.5,86.3,-26.6,61.8
CADCHF,GBPUSD,-21,79.9,-39.4,32.9
CADCHF,GBPZAR,-25.3,66.2,51.4,51.6
CADCHF,HKDJPY,-9.6,47.8,70.4,41.9
CADCHF,NZDCAD,-2.3,-82.6,-88.7,39.8
CADCHF,NZDCHF,72.5,34.4,90.4,88.5
CADCHF,NZDHKD,14.9,-50.5,-57.1,68.3
CADCHF,NZDJPY,9,14.4,39.1,81.3
CADCHF,NZDSGD,68.2,-33,-37,77
CADCHF,NZDUSD,18,-51,-60,68.8
CADCHF,SGDHKD,-53.6,-66.5,-20.6,-67.6
CADCHF,SGDJPY,-54.3,34.4,74.1,-3
CADCHF,TRYJPY,-45.8,73.5,3.7,14.3
CADCHF,USDCAD,-16.1,-53,-71.1,-78.7
CADCHF,USDCNH,26.2,0.1,67.3,-44.5
CADCHF,USDCZK,70.2,70.4,93.9,53.4
CADCHF,USDDKK,69.4,82.5,96,54.2
CADCHF,USDHUF,65.8,63.1,90.3,36
CADCHF,USDJPY,-11.8,48.5,73.2,39
CADCHF,USDMXN,-72.5,13.7,-38.8,70.9
CADCHF,USDNOK,66.1,81.7,73.3,-67.5
CADCHF,USDPLN,70.6,77.7,55,67.1
CADCHF,USDSEK,77.2,84.2,90,23.5
CADCHF,USDSGD,52.9,67.4,30,65.3
CADCHF,USDTRY,47.1,-28.9,53.6,10.2
CADCHF,USDZAR,-22.5,59.4,56.3,45.8
CADCHF,AUDCHF,77.4,54.5,92.2,41.5
CADCHF,AUDHKD,-39.9,-70.7,49.6,12.6
CADCHF,AUDUSD,-40.6,-71,44.8,17.7
CADCHF,CHFHKD,-63.8,-81.7,-96.1,-39.7
CADCHF,EURAUD,-86.2,-70.1,-94.4,-54.8
CADCHF,EURCHF,-66.5,-65.6,-26.9,-61.8
CADCHF,EURCZK,13,31.2,47.1,-9.9
CADCHF,EURDKK,45.9,-65.8,-19.9,-38.1
CADCHF,EURHKD,-70.1,-82.8,-96.2,-58.3
CADCHF,EURJPY,-74.3,-55.2,-71.8,-7.1
CADCHF,EURPLN,-4.7,-9.4,-45.8,52.1
CADCHF,EURUSD,-71,-82.9,-96.2,-54.5
CADCHF,GBPPLN,53.1,86.5,23.8,88.7
CADCHF,SGDCHF,38.7,84.8,92.8,-21.5
CADCHF,USDCHF,65.1,82.4,96.3,34.3
CADCHF,USDINR,63.6,-47.6,-42.2,72.5
CADCHF,ZARJPY,19.7,-57.2,-47.1,-29.6
CADCHF,USDHKD,-23.7,13.2,70.6,-75.4
CADCHF,USDSAR,58.7,18.1,34.6,58.9
CADCHF,USDTHB,63.3,-55.2,-5.5,46.6
CADHKD,AUDCAD,-18.4,-64.1,-33.9,-78.5
CADHKD,AUDJPY,46,-36.5,38.2,18.8
CADHKD,AUDNZD,57.3,-38.5,37.7,-78.7
CADHKD,AUDSGD,63.5,-9.6,30.5,65.8
CADHKD,CADCHF,13.9,53,74.6,78.2
CADHKD,CADHKD,100,100,100,100
CADHKD,CADJPY,73,15.5,63.5,71.6
CADHKD,CADSGD,66.3,79.3,71.7,91.6
CADHKD,CHFJPY,40.9,-46.2,-59.2,22.9
CADHKD,CHFZAR,18.2,-27.2,15.9,50.2
CADHKD,EURCAD,2.5,-45.4,-77.9,-77.8
CADHKD,EURGBP,64,-30.2,-61.1,-72.6
CADHKD,EURHUF,40,-20.5,-25.3,-40.1
CADHKD,EURNOK,39.5,26.2,-62.8,-73.5
CADHKD,EURNZD,39.5,-50.2,-75.9,-83.1
CADHKD,EURSEK,59.2,47.4,14,-73.6
CADHKD,EURSGD,53.8,-14.2,-64.8,40.1
CADHKD,EURTRY,53.4,-38.5,-62.6,11.9
CADHKD,EURZAR,19.7,-29.5,13.7,42.9
CADHKD,GBPAUD,-77.3,34.9,-19,50.6
CADHKD,GBPCAD,-87.1,0.8,-46.4,-42.6
CADHKD,GBPCHF,-73.5,31,59.5,69.4
CADHKD,GBPHKD,-37.6,52.8,2.7,73.5
CADHKD,GBPJPY,-66.7,10.1,26.2,69.1
CADHKD,GBPNZD,-63,18.2,7.4,-68.7
CADHKD,GBPSGD,-64,38.3,-2.5,85.2
CADHKD,GBPUSD,-42,52.6,-0.4,75.8
CADHKD,GBPZAR,-14.5,-15.7,25.4,64.9
CADHKD,HKDJPY,-51.7,-32.6,23.6,-2
CADHKD,NZDCAD,-85.6,-30.2,-66.4,60.2
CADHKD,NZDCHF,-50.1,39.9,66.9,84
CADHKD,NZDHKD,52.5,29.2,-7.1,92
CADHKD,NZDJPY,-12.5,-18.3,23.7,79
CADHKD,NZDSGD,-6.4,29.3,-12.9,89.1
CADHKD,NZDUSD,43,28.1,-11.1,92.1
CADHKD,SGDHKD,35.3,20.6,10.6,-44.7
CADHKD,SGDJPY,-7.1,-33.6,35.5,-46.7
CADHKD,TRYJPY,-18.8,12.1,14.7,-15.2
CADHKD,USDCAD,-99.9,-99.8,-99.6,-100
CADHKD,USDCNH,-68.6,-54.4,19.9,-81.1
CADHKD,USDCZK,-54.5,0.7,59.7,-6.7
CADHKD,USDDKK,-54.5,3.5,60.3,-5.9
CADHKD,USDHUF,-54.2,-10.2,55.4,-24.8
CADHKD,USDJPY,-45.7,-31.9,26.3,-5.7
CADHKD,USDMXN,11.1,8.8,-46.8,69.7
CADHKD,USDNOK,-55.2,12.8,32.7,-89.7
CADHKD,USDPLN,-49.5,16.4,34.3,15.5
CADHKD,USDSEK,-32.5,16.3,55.5,-37.5
CADHKD,USDSGD,-30.4,-17.6,-4.4,41.2
CADHKD,USDTRY,-18.1,-67.8,5.5,10.4
CADHKD,USDZAR,-5.3,-24.9,25,40.6
CADHKD,AUDCHF,-1.7,-1.3,58.1,0.2
CADHKD,AUDHKD,80.6,6.4,44.5,26.5
CADHKD,AUDUSD,79.9,4.6,40.8,31.8
CADHKD,CHFHKD,67.4,5.5,-53.2,26.2
CADHKD,EURAUD,14.4,-11.7,-64.3,-16.6
CADHKD,EURCHF,19.2,-19.3,-42.7,-53.4
CADHKD,EURCZK,-37.5,-5.5,33.2,-7.2
CADHKD,EURDKK,-58.4,-30.8,-16.6,8.5
CADHKD,EURHKD,54.7,-4.4,-60.1,1.3
CADHKD,EURJPY,34.6,-55.6,-66.7,-0.8
CADHKD,EURPLN,20.4,17.5,-29,33.8
CADHKD,EURUSD,53.4,-5.2,-60.5,5.8
CADHKD,GBPPLN,-59.1,36.6,30.9,73.8
CADHKD,SGDCHF,-60.1,6.3,59.9,-63.5
CADHKD,USDCHF,-66.1,-4.2,54.1,-31.7
CADHKD,USDINR,23.2,-5.1,-37.6,60.7
CADHKD,ZARJPY,-4.7,22.6,-21.5,-46.2
CADHKD,USDHKD,80.8,27,54.3,-78.6
CADHKD,USDTHB,-44.8,-40.8,-19.4,16.2
CADHKD,USDSAR,-34.2,15.6,19.7,65.7
CADJPY,AUDCAD,4.8,-56,5.9,-78.1
CADJPY,AUDJPY,80.7,70.6,88.2,64.7
CADJPY,AUDNZD,68.2,54.3,76.7,-69.6
CADJPY,AUDSGD,63.6,-28.5,67.4,62.1
CADJPY,CADCHF,9.5,75.9,89.3,86.3
CADJPY,CADHKD,73,15.5,63.5,71.6
CADJPY,CADJPY,100,100,100,100
CADJPY,CADSGD,52.5,58.9,79.7,89.4
CADJPY,CHFJPY,63.1,54.1,-33.2,66.3
CADJPY,CHFZAR,8.6,57.5,28,46.7
CADJPY,EURCAD,10.2,-81,-87.9,-82
CADJPY,EURGBP,64.2,-74.5,-58.3,-55
CADJPY,EURHUF,53.1,-81.6,-51,-2.9
CADJPY,EURNOK,35.6,20.2,-69.8,-79.2
CADJPY,EURNZD,43.8,-46.5,-82.8,-77.8
CADJPY,EURSEK,27.5,-26.1,1.5,-59.1
CADJPY,EURSGD,51.7,-81.4,-73.9,29
CADJPY,EURTRY,50.5,-65.5,-55.4,26.4
CADJPY,EURZAR,13.2,53.1,27.1,41.2
CADJPY,GBPAUD,-79.3,58.8,-50.8,29.3
CADJPY,GBPCAD,-78.8,47.5,-65.7,-73.2
CADJPY,GBPCHF,-68.6,69,61.8,52.2
CADJPY,GBPHKD,-58,48,-39.2,20.7
CADJPY,GBPJPY,-29.8,88.8,50,87.3
CADJPY,GBPNZD,-55.2,77,-3.7,-75.2
CADJPY,GBPSGD,-68.1,61.6,-19.5,64.1
CADJPY,GBPUSD,-61.3,49,-41.6,24.3
CADJPY,GBPZAR,-22.3,63.2,36.8,56.5
CADJPY,HKDJPY,20.6,88.3,90.1,68.4
CADJPY,NZDCAD,-80,-85,-78.2,41.6
CADJPY,NZDCHF,-48.4,-11.3,81.4,80.1
CADJPY,NZDHKD,8.3,-76,-52.8,65.1
CADJPY,NZDJPY,40.2,56.5,68.4,92.3
CADJPY,NZDSGD,-17.8,-65.6,-19.5,80.2
